1-ая Лесная улица;1-ая Лесная ул.;PervayaLesnaya
2-й Кожуховский проезд;2-й Кожуховский пр.;VtorojKozhuhovskijPrd
2-й Колобовский переулок;2-й Колобовский пер.;VtorojKolobovskijPer
2-й Коптельский переулок;2-й Коптельский пер.;VtorojKoptelskijPer
2-й Котельнический переулок;2-й Котельнический пер.;VtorojKotelnicheskijPer
2-й Котляковский переулок;2-й Котляковский пер.;VtorojKotlyakovskijPer
2-й Красковский проезд;2-й Красковский пр.;VtorojKraskovskijPrd
2-й Красногвардейский проезд;2-й Красногвардейский пр.;VtorojKrasnogvardejskijPrd
2-й Красногорский проезд;2-й Красногорский пр.;VtorojKrasnogorskijPrd
2-й Краснокурсантский проезд;2-й Краснокурсантский пр.;VtorojKrasnokursantskijPrd
2-й Красносельский переулок;2-й Красносельский пер.;VtorojKrasnoselskijPer
2-й Крестовский переулок;2-й Крестовский пер.;VtorojKrestovskijPer
2-й Крутицкий переулок;2-й Крутицкий пер.;VtorojKruticzkijPer
2-й Курьяновский проезд;2-й Курьяновский пр.;VtorojKuryanovskijPrd
2-й Лесной переулок;2-й Лесной пер.;VtorojLesnojPer
2-й Лесной переулок;2-й Лесной пер.;VtorojLesnojPer
2-й Лесной переулок;2-й Лесной пер.;VtorojLesnojPer
2-й Лихачёвский переулок;2-й Лихачёвский пер.;VtorojLihachyovskijPer
2-й Лучевой просек;2-й Лучевой просек;VtorojLuchevojPrk
2-й Люберецкий проезд;2-й Люберецкий пр.;VtorojLyubereczkijPrd
2-й Магистральный тупик;2-й Магистральный туп.;VtorojMagistralnyjTup
2-й Медведковский мост;2-й Медведковский мост;VtorojMedvedkovskijMost
2-й Миргородский переулок;2-й Миргородский пер.;VtorojMirgorodskijPer
2-й Митинский переулок;2-й Митинский пер.;VtorojMitinskijPer
2-й Монетчиковский переулок;2-й Монетчиковский пер.;VtorojMonetchikovskijPer
2-й Моравский переулок;2-й Моравский пер.;VtorojMoravskijPer
2-й Мосфильмовский переулок;2-й Мосфильмовский пер.;VtorojMosfilmovskijPer
2-й Набережный тупик;2-й Набережный туп.;VtorojNaberezhnyjTup
2-й Нагатинский проезд;2-й Нагатинский пр.;VtorojNagatinskijPrd
2-й Неопалимовский переулок;2-й Неопалимовский пер.;VtorojNeopalimovskijPer
2-й Нижнемасловский переулок;2-й Нижнемасловский пер.;VtorojNizhnemaslovskijPer
2-й Николощеповский переулок;2-й Николощеповский пер.;VtorojNikoloshhepovskijPer
2-й Новобурцевский переулок;2-й Новобурцевский пер.;VtorojNovoburczevskijPer
2-й Новокузнецкий переулок;2-й Новокузнецкий пер.;VtorojNovokuzneczkijPer
2-й Новоподмосковный переулок;2-й Новоподмосковный пер.;VtorojNovopodmoskovnyjPer
2-й Новый переулок;2-й Новый пер.;VtorojNovyjPer
2-й Обыденский переулок;2-й Обыденский пер.;VtorojObydenskijPer
2-й Очаковский переулок;2-й Очаковский пер.;VtorojOchakovskijPer
2-й Павелецкий проезд;2-й Павелецкий пр.;VtorojPaveleczkijPrd
2-й Павловский переулок;2-й Павловский пер.;VtorojPavlovskijPer
2-й Павловский проезд;2-й Павловский пр.;VtorojPavlovskijPrd
2-й Парковый проезд;2-й Парковый пр.;VtorojParkovyjPrd
2-й Пенягинский проезд;2-й Пенягинский пр.;VtorojPenyaginskijPrd
2-й переулок Измайловского Зверинца;2-й пер. Измайловского Зверинца;VtorojPerIzmajlovskogoZverincza
2-й переулок Петра Алексеева;2-й пер. Петра Алексеева;VtorojPerPetraAlekseeva
2-й переулок Тружеников;2-й пер. Тружеников;VtorojPerTruzhenikov
2-й Пехотный переулок;2-й Пехотный пер.;VtorojPehotnyjPer
2-й Полевой переулок;2-й Полевой пер.;VtorojPolevojPer
2-й Полянский переулок;2-й Полянский пер.;VtorojPolyanskijPer
2-й Поперечный проезд;2-й Поперечный пр.;VtorojPoperechnyjPrd
2-й проезд Марьиной Рощи;2-й пр. Марьиной Рощи;VtorojPrdMarinojRoshhi
2-й проезд Мира;2-й пр. Мира;VtorojPrdMira
2-й проезд Перова Поля;2-й пр. Перова Поля;VtorojPrdPerovaPolya
2-й Пятигорский проезд;2-й Пятигорский пр.;VtorojPyatigorskijPrd
2-й Радиальный проезд;2-й Радиальный пр.;VtorojRadialnyjPrd
2-й Раушский переулок;2-й Раушский пер.;VtorojRaushskijPer
2-й Рогозининский переулок;2-й Рогозининский пер.;VtorojRogozininskijPer
2-й Ростовский переулок;2-й Ростовский пер.;VtorojRostovskijPer
2-й Ростокинский мост;2-й Ростокинский мост;VtorojRostokinskijMost
2-й Рощинский проезд;2-й Рощинский пр.;VtorojRoshhinskijPrd
2-й Рушниковский переулок;2-й Рушниковский пер.;VtorojRushnikovskijPer
2-й Садовый проезд;2-й Садовый пр.;VtorojSadovyjPrd
2-й Самотёчный переулок;2-й Самотёчный пер.;VtorojSamotyochnyjPer
2-й Самоцветный переулок;2-й Самоцветный пер.;VtorojSamoczvetnyjPer
2-й Саратовский проезд;2-й Саратовский пр.;VtorojSaratovskijPrd
2-й Северный переулок;2-й Северный пер.;VtorojSevernyjPer
2-й Сельскохозяйственный проезд;2-й Сельскохозяйственный пр.;VtorojSelskohozyajstvennyjPrd
2-й Сентябрьский переулок;2-й Сентябрьский пер.;VtorojSentyabrskijPer
2-й Сетуньский проезд;2-й Сетуньский пр.;VtorojSetunskijPrd
2-й Силикатный проезд;2-й Силикатный пр.;VtorojSilikatnyjPrd
2-й Смоленский переулок;2-й Смоленский пер.;VtorojSmolenskijPer
2-й Солнечный переулок;2-й Солнечный пер.;VtorojSolnechnyjPer
2-й Спасоналивковский переулок;2-й Спасоналивковский пер.;VtorojSpasonalivkovskijPer
2-й Стрелецкий проезд;2-й Стрелецкий пр.;VtorojStreleczkijPrd
2-й Сыромятнический переулок;2-й Сыромятнический пер.;VtorojSyromyatnicheskijPer
2-й Тверской-Ямской переулок;2-й Тверской-Ямской пер.;VtorojTverskojYamskojPer
2-й Терновый переулок;2-й Терновый пер.;VtorojTernovyjPer
2-й Троицкий переулок;2-й Троицкий пер.;VtorojTroiczkijPer
2-й Тульский переулок;2-й Тульский пер.;VtorojTulskijPer
2-й Тушинский проезд;2-й Тушинский пр.;VtorojTushinskijPrd
2-й Тюляевский переулок;2-й Тюляевский пер.;VtorojTyulyaevskijPer
2-й Угрешский проезд;2-й Угрешский пр.;VtorojUgreshskijPrd
2-й Хвостов переулок;2-й Хвостов пер.;VtorojhvostovPer
2-й Ходынский проезд;2-й Ходынский пр.;VtorojhodynskijPrd
2-й Хорошёвский проезд;2-й Хорошёвский пр.;VtorojhoroshyovskijPrd
2-й Хуторской переулок;2-й Хуторской пер.;VtorojhutorskojPer
2-й Цветочный переулок;2-й Цветочный пер.;VtorojCzvetochnyjPer
2-й Ширяевский переулок;2-й Ширяевский пер.;VtorojShiryaevskijPer
2-й Шлюзовой мост;2-й Шлюзовой мост;VtorojShlyuzovojMost
2-й Щемиловский переулок;2-й Щемиловский пер.;VtorojShhemilovskijPer
2-й Щипковский переулок;2-й Щипковский пер.;VtorojShhipkovskijPer
2-й Электрозаводский переулок;2-й Электрозаводский пер.;VtorojElektrozavodskijPer
2-й Южнопортовый проезд;2-й Южнопортовый пр.;VtorojYuzhnoportovyjPrd
2-я Апрельская улица;2-я Апрельская ул.;VtorayaAprelskaya
2-я Барышевская улица;2-я Барышевская ул.;VtorayaBaryshevskaya
2-я Бауманская улица;2-я Бауманская ул.;VtorayaBaumanskaya
2-я Бахметьевская улица;2-я Бахметьевская ул.;VtorayaBahmetevskaya
2-я Белогорская улица;2-я Белогорская ул.;VtorayaBelogorskaya
2-я Боевская улица;2-я Боевская ул.;VtorayaBoevskaya
2-я Боровская улица;2-я Боровская ул.;VtorayaBorovskaya
2-я Бородинская улица;2-я Бородинская ул.;VtorayaBorodinskaya
